City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
225,Yerbogachen,RU,61.2767,108.0108,57.4,78,93,2.59,overcast clouds,2022-07-17 17:56:52
226,Lashio,MM,22.9333,97.75,70.2,99,98,0.47,moderate rain,2022-07-17 17:56:52
227,Caravelas,BR,-17.7125,-39.2481,78.21,63,6,7.72,clear sky,2022-07-17 17:56:53
228,Wawa,NG,9.9022,4.4192,76.78,82,97,3.85,light rain,2022-07-17 17:56:53
229,Havelock,US,34.8791,-76.9013,88.99,73,0,9.22,clear sky,2022-07-17 17:54:07
230,Loksa,EE,59.5764,25.7214,57.92,69,97,12.28,light rain,2022-07-17 17:56:54
231,Puerto Gaitan,CO,4.3133,-72.0816,82.08,74,94,4.03,overcast clouds,2022-07-17 17:52:07
232,Naze,JP,28.3667,129.4833,79.72,84,100,16.4,overcast clouds,2022-07-17 17:56:54
233,Belmonte,BR,-15.8631,-38.8828,77.49,68,25,7.87,scattered clouds,2022-07-17 17:54:47
234,Henties Bay,NA,-22.116,14.2845,67.77,48,3,9.66,clear sky,2022-07-17 17:56:55
235,Chokurdakh,RU,70.6333,147.9167,40.06,67,16,11.45,few clouds,2022-07-17 17:56:07
236,Puerto Quijarro,BO,-17.7833,-57.7667,82.83,40,87,3.98,overcast clouds,2022-07-17 17:56:55
237,Bathsheba,BB,13.2167,-59.5167,88.41,78,20,25.32,few clouds,2022-07-17 17:56:55
238,Kristiansund,NO,63.1115,7.732,57.25,94,75,13.8,broken clouds,2022-07-17 17:56:56
239,Zabol,AF,32.25,67.25,76.33,46,5,7.83,clear sky,2022-07-17 17:56:56
240,Usinsk,RU,65.9939,57.5281,63.27,90,99,1.23,overcast clouds,2022-07-17 17:56:56
241,Dawson Creek,CA,55.7666,-120.2362,67.64,45,0,11.5,clear sky,2022-07-17 17:56:57
242,Sohag,EG,26.557,31.6948,93.49,16,4,10.63,clear sky,2022-07-17 17:56:57
243,Yermakovskoye,RU,53.2831,92.4003,60.49,92,100,4.38,overcast clouds,2022-07-17 17:56:58
244,Sibolga,ID,1.7427,98.7792,76.23,83,9,3.2,clear sky,2022-07-17 17:56:58
245,Elmvale,CA,44.5834,-79.8664,86.95,53,83,6.51,broken clouds,2022-07-17 17:56:58
246,Aleksandrov Gay,RU,50.147,48.5704,76.95,43,25,8.63,scattered clouds,2022-07-17 17:56:59
247,Maketu,NZ,-37.7667,176.45,43.05,99,91,3.36,overcast clouds,2022-07-17 17:56:59
248,Beringovskiy,RU,63.05,179.3167,51.71,66,60,32.1,broken clouds,2022-07-17 17:56:59
249,Lebu,CL,-37.6167,-73.65,51.31,84,98,12.88,overcast clouds,2022-07-17 17:55:40
250,Solnechnyy,RU,50.7214,136.6319,60.12,78,91,3.29,overcast clouds,2022-07-17 17:57:00
251,Baglung,NP,28.2719,83.5898,74.53,88,72,1.86,broken clouds,2022-07-17 17:57:00
252,Isangel,VU,-19.55,169.2667,74.19,86,84,15.08,broken clouds,2022-07-17 17:57:00
253,Hovd,MN,48.0056,91.6419,67.6,37,71,9.31,broken clouds,2022-07-17 17:57:01
254,Progreso,MX,21.2833,-89.6667,94.1,56,19,12.73,few clouds,2022-07-17 17:57:01
255,Jacareacanga,BR,-6.2222,-57.7528,99.82,26,37,4.56,scattered clouds,2022-07-17 17:57:01
256,Nueva Guinea,NI,11.6876,-84.4562,80.65,80,73,12.91,broken clouds,2022-07-17 17:57:02
257,Port Hardy,CA,50.6996,-127.4199,55.58,88,100,8.05,light intensity drizzle,2022-07-17 17:53:52
258,Jefferson City,US,38.5767,-92.1735,74.62,56,100,6.17,overcast clouds,2022-07-17 17:57:02
259,Nanortalik,GL,60.1432,-45.2371,43.68,82,51,12.3,broken clouds,2022-07-17 17:57:03
260,Ust-Kuyga,RU,70.0167,135.6,43.92,66,99,4.5,overcast clouds,2022-07-17 17:56:20
