City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Mocajuba,BR,96.28,overcast clouds,-2.5842,-49.5072,Mocajuba
388,Acarau,BR,84.42,broken clouds,-2.8856,-40.12,Acaraú
389,Cristalina,BR,79.21,scattered clouds,-16.7686,-47.6136,Cristalina
391,Tres Palos,MX,83.43,overcast clouds,18.1833,-101.6167,Guadaloupe
392,Bull Savanna,JM,87.13,clear sky,17.8868,-77.5902,Alligator Pond
393,Bom Jesus,BR,94.89,clear sky,-9.0744,-44.3586,Centro
394,Virginia Beach,US,93.02,scattered clouds,36.8529,-75.978,Virginia Beach
395,Lethem,GY,87.58,broken clouds,3.3803,-59.7968,Bonfim
397,Hearst,CA,82.65,few clouds,49.6835,-83.6665,Hearst
399,Saint-Denis,FR,90.36,clear sky,48.9167,2.3333,Paris
400,Wilmington,US,88.9,clear sky,34.2257,-77.9447,Wilmington
402,Murgab,TM,89.47,clear sky,37.4966,61.9714,Mary
404,Buala,SB,79.0,broken clouds,-8.145,159.5921,Buala
405,Zamania,IN,92.98,broken clouds,25.4333,83.5667,Zamania
407,Nurota,UZ,89.37,clear sky,40.5614,65.6886,Nurota
410,Belize,BZ,88.12,overcast clouds,17.25,-88.75,Belmopan
411,Meadow Lake,US,93.85,few clouds,34.8014,-106.5436,Meadow Lake
412,Mardin,TR,84.69,clear sky,37.3131,40.7436,Mardin
415,Labuhan,ID,77.34,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
418,Sargodha,PK,86.81,broken clouds,32.0836,72.6711,Sargodha
421,Bridlington,GB,86.9,overcast clouds,54.0831,-0.1919,Bridlington
422,Barcelona,ES,95.14,clear sky,41.3888,2.159,Barcelona
423,Muscle Shoals,US,93.65,broken clouds,34.7448,-87.6675,Florence
424,Acapulco,MX,86.36,overcast clouds,16.8634,-99.8901,Acapulco
426,Bemidji,US,86.05,scattered clouds,47.4736,-94.8803,Bemidji
428,Halifax,CA,76.89,overcast clouds,44.6453,-63.5724,Halifax
432,Samarai,PG,78.84,light rain,-10.6167,150.6667,Magesina
433,Yanam,IN,76.84,overcast clouds,16.7333,82.2167,Yanam
434,Sioux Lookout,CA,82.47,scattered clouds,50.1001,-91.917,Sioux Lookout
436,Safford,US,96.12,clear sky,32.834,-109.7076,Safford
438,Hamilton,US,75.76,light rain,39.1834,-84.5333,Cincinnati
440,Jingdezhen,CN,77.11,overcast clouds,29.2947,117.2079,Jingdezhen
441,Udala,ES,94.69,few clouds,43.0778,-2.5125,Arrasate
443,Ryotsu,JP,73.22,scattered clouds,38.0833,138.4333,Sado
445,Nhulunbuy,AU,70.41,scattered clouds,-12.2333,136.7667,Nhulunbuy
446,Porto Belo,BR,70.68,overcast clouds,-27.1578,-48.5531,Bombinhas
451,Khombole,SN,85.01,broken clouds,14.7667,-16.7,Khombole
452,Mountain Home,US,92.28,overcast clouds,43.133,-115.6912,Mountain Home
453,Mweka,CD,81.14,overcast clouds,-4.85,21.5667,Mweka
454,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Kavaratti
456,Klamath Falls,US,80.87,clear sky,42.2249,-121.7817,Klamath Falls
459,Leczyca,PL,70.09,scattered clouds,52.0596,19.1997,Leczyca
460,West Wendover,US,93.11,few clouds,40.7391,-114.0733,Wendover
462,Puerto Narino,CO,85.1,scattered clouds,-3.7703,-70.3831,Puerto Nariño
463,Lasa,IT,75.29,few clouds,46.6166,10.7002,Schlanders
464,Ferme-Neuve,CA,82.22,broken clouds,46.7001,-75.4493,Ferme-Neuve
466,Paraisopolis,BR,87.04,broken clouds,-22.5542,-45.78,Paraisópolis
471,Lorengau,PG,81.5,moderate rain,-2.0226,147.2712,Lorengau
476,Lambari,BR,83.62,broken clouds,-21.9756,-45.3503,Lambari
477,Mbanza-Ngungu,CD,74.61,scattered clouds,-5.25,14.8667,Mbanza-Ngungu
478,Dzaoudzi,YT,71.49,overcast clouds,-12.7887,45.2699,Mamoudzou
479,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,San Cristobal
480,Vanimo,PG,75.6,overcast clouds,-2.6741,141.3028,Vanimo
481,Mitu,CO,84.43,broken clouds,1.1983,-70.1733,Queramiki
482,Tautira,PF,74.89,broken clouds,-17.7333,-149.15,Tautira
486,Half Moon Bay,US,83.88,mist,37.4636,-122.4286,Half Moon Bay
487,Saint-Francois,FR,87.24,clear sky,46.4154,3.9054,Molinet
488,Waw,SS,74.12,broken clouds,7.7029,27.9953,Wau
491,Silver City,US,87.76,clear sky,32.7701,-108.2803,Silver City
492,Rio Verde De Mato Grosso,BR,87.76,broken clouds,-18.9181,-54.8442,Rio Verde de Mato Grosso
494,Kapit,MY,74.44,overcast clouds,2.0167,112.9333,Kapit
499,Zhangye,CN,74.05,overcast clouds,38.9342,100.4517,Zhangye
500,Banda Aceh,ID,79.74,light rain,5.5577,95.3222,Banda Aceh
501,Devils Lake,US,89.71,clear sky,48.1128,-98.8651,Devils Lake
502,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Vila Franca do Campo
503,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Pitimbu
504,Noumea,NC,72.0,scattered clouds,-22.2763,166.4572,Nouméa
505,Impfondo,CG,72.59,moderate rain,1.6381,18.0667,Impfondo
506,Avera,US,91.54,clear sky,33.194,-82.5271,Avera
507,Hanzhong,CN,74.55,broken clouds,33.0728,107.0303,Hanzhong
508,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Sri Aman
